"Screening_Type","Threshold","Sensitivity","Specificity","Precision","N_True_Positives","N_True_Negatives","N_False_Positives","N_False_Negatives"
"Regex_FullText",8,0.924764890282132,0.994436431073563,0.916149068322981,295,4826,27,24
"Regex_FullText",9,0.909090909090909,0.994642489181949,0.917721518987342,290,4827,26,29
"Regex_FullText",10,0.893416927899687,0.994848547290336,0.919354838709677,285,4828,25,34
"Regex_FullText",11,0.893416927899687,0.995054605398722,0.922330097087379,285,4829,24,34
"Regex_FullText",12,0.877742946708464,0.995054605398722,0.921052631578947,280,4829,24,39
"Regex_FullText",13,0.855799373040752,0.995054605398722,0.919191919191919,273,4829,24,46
"Regex_FullText",14,0.849529780564263,0.995260663507109,0.921768707482993,271,4830,23,48
"Regex_FullText",15,0.849529780564263,0.995466721615496,0.924914675767918,271,4831,22,48
"Regex_FullText",16,0.836990595611285,0.995466721615496,0.923875432525952,267,4831,22,52
"Regex_FullText",17,0.830721003134796,0.995466721615496,0.923344947735192,265,4831,22,54
"Regex_FullText",18,0.824451410658307,0.995466721615496,0.92280701754386,263,4831,22,56
"Regex_FullText",19,0.808777429467085,0.995466721615496,0.921428571428571,258,4831,22,61
"Regex_FullText",20,0.796238244514107,0.995878837832269,0.927007299270073,254,4833,20,65
"Regex_FullText",22,0.789968652037618,0.996084895940655,0.929889298892989,252,4834,19,67
"Regex_FullText",24,0.774294670846395,0.996084895940655,0.928571428571429,247,4834,19,72
"Regex_FullText",25,0.768025078369906,0.996084895940655,0.928030303030303,245,4834,19,74
"Regex_FullText",26,0.761755485893417,0.996497012157428,0.934615384615385,243,4836,17,76
"Regex_FullText",27,0.752351097178683,0.996497012157428,0.933852140077821,240,4836,17,79
"Regex_FullText",28,0.736677115987461,0.996703070265815,0.936254980079681,235,4837,16,84
"Regex_FullText",29,0.736677115987461,0.996909128374202,0.94,235,4838,15,84
"Regex_FullText",30,0.727272727272727,0.997115186482588,0.943089430894309,232,4839,14,87
"Regex_FullText",31,0.714733542319749,0.997115186482588,0.942148760330578,228,4839,14,91
"Regex_FullText",32,0.711598746081505,0.997115186482588,0.941908713692946,227,4839,14,92
"Regex_FullText",33,0.699059561128527,0.997115186482588,0.940928270042194,223,4839,14,96
"Regex_FullText",34,0.67398119122257,0.997321244590975,0.942982456140351,215,4840,13,104
"Regex_FullText",35,0.667711598746082,0.997321244590975,0.942477876106195,213,4840,13,106
"Regex_FullText",36,0.648902821316614,0.997321244590975,0.940909090909091,207,4840,13,112
"Regex_FullText",37,0.633228840125392,0.997321244590975,0.93953488372093,202,4840,13,117
"Regex_FullText",38,0.623824451410658,0.997527302699361,0.943127962085308,199,4841,12,120
"Regex_FullText",39,0.614420062695925,0.997527302699361,0.942307692307692,196,4841,12,123
"Regex_FullText",40,0.595611285266458,0.997527302699361,0.940594059405941,190,4841,12,129
"Regex_FullText",41,0.589341692789969,0.997733360807748,0.944723618090452,188,4842,11,131
"Regex_FullText",42,0.570532915360502,0.997733360807748,0.94300518134715,182,4842,11,137
"Regex_FullText",43,0.557993730407524,0.997733360807748,0.941798941798942,178,4842,11,141
"Regex_FullText",44,0.545454545454545,0.997733360807748,0.940540540540541,174,4842,11,145
"Regex_FullText",46,0.532915360501567,0.997733360807748,0.939226519337017,170,4842,11,149
"Regex_FullText",48,0.532915360501567,0.997939418916134,0.944444444444444,170,4843,10,149
"Regex_FullText",49,0.5141065830721,0.997939418916134,0.942528735632184,164,4843,10,155
"Regex_FullText",50,0.498432601880878,0.998145477024521,0.946428571428571,159,4844,9,160
"Regex_FullText",51,0.489028213166144,0.998145477024521,0.945454545454545,156,4844,9,163
"Regex_FullText",52,0.482758620689655,0.998145477024521,0.94478527607362,154,4844,9,165
"Regex_FullText",53,0.473354231974922,0.998145477024521,0.94375,151,4844,9,168
"Regex_FullText",54,0.467084639498433,0.998145477024521,0.943037974683544,149,4844,9,170
"Regex_FullText",55,0.460815047021944,0.998351535132908,0.948387096774194,147,4845,8,172
"Regex_FullText",56,0.45141065830721,0.998351535132908,0.947368421052632,144,4845,8,175
"Regex_FullText",57,0.442006269592476,0.998351535132908,0.946308724832215,141,4845,8,178
"Regex_FullText",58,0.438871473354232,0.998557593241294,0.952380952380952,140,4846,7,179
"Regex_FullText",59,0.432601880877743,0.998557593241294,0.951724137931034,138,4846,7,181
"Regex_FullText",60,0.41692789968652,0.998557593241294,0.95,133,4846,7,186
